United Airlines	377	35.44827586206897	1	906
Southwest Airlines Co.	358	30.044692737430168	2	213
Continental Air Lines Inc.	127	21.874015748031496	1	216
Northwest Airlines Inc.	144	33.78472222222222	1	237
US Airways	237	28.459915611814345	1	496
Alaska Airlines Inc.	66	25.181818181818183	1	119
Delta Air Lines Inc.	390	27.474358974358974	1	1425
American Airlines Inc.	253	35.537549407114625	1	1186
